state,site
Alabama,https://www.alabamavotes.gov/
Alaska,https://www.elections.alaska.gov/voter-information/#Reg
Arizona,https://my.arizona.vote/
Arkansas,https://www.sos.arkansas.gov/elections/voter-information/voter-registration-information
California,https://www.sos.ca.gov/elections/voter-registration
Colorado,https://www.coloradosos.gov/voter/pages/pub/olvr/verifyNewVoter.xhtml
Connecticut,https://portal.ct.gov/sots/election-services/voter-registration
Delaware,https://elections.delaware.gov/services/voter/
Florida,https://registertovoteflorida.gov/
Georgia,https://registertovote.sos.ga.gov/
Hawaii,https://elections.hawaii.gov/voters/voter-registration/
Idaho,https://sos.idaho.gov/elections-division/voter-registration/
Illinois,https://www.elections.il.gov/VotingAndRegistrationSystems/ApplyToVote.aspx
Indiana,https://indianavoters.in.gov/
Iowa,https://sos.iowa.gov/elections/voterinformation/voterregistration.html
Kansas,https://sos.ks.gov/elections/register-to-vote.html
Kentucky,https://elect.ky.gov/registertovote/Pages/default.aspx
Louisiana,https://www.sos.la.gov/ElectionsAndVoting/RegisterToVote/Pages/default.aspx
Maine,https://www.maine.gov/sos/cec/elec/voter-info/voter-reg.shtml
Maryland,https://voterservices.elections.maryland.gov/OnlineVoterRegistration/InstructionsStep1
Massachusetts,https://www.sec.state.ma.us/OVR/
Michigan,https://mvic.sos.state.mi.us/RegisterVoter/Index
Minnesota,https://mnvotes.sos.state.mn.us/VoterRegistration/VoterRegistrationMain.aspx
Mississippi,https://msegov.com/sos/voter\_registration/
Missouri,https://s1.sos.mo.gov/elections/goVoteMissouri/register.aspx
Montana,https://sosmt.gov/elections/register/
Nebraska,https://sos.nebraska.gov/elections/register-vote
Nevada,https://registertovote.nv.gov/
New Hampshire,https://app.sos.nh.gov/viphome
New Jersey,https://voter.svrs.nj.gov/register
New Mexico,https://portal.sos.state.nm.us/OVR/WebPages/InstructionsStep1.aspx
New York,https://elections.ny.gov/voter-registration-process
North Carolina,https://www.ncsbe.gov/registering
North Dakota,https://www.sos.nd.gov/elections
Ohio,https://olvr.ohiosos.gov/
Oklahoma,https://oklahoma.gov/elections/voter-registration/register-to-vote.html
Oregon,https://sos.oregon.gov/voting/Pages/registration.aspx
Pennsylvania,https://www.pa.gov/agencies/vote.html
Rhode Island,https://vote.sos.ri.gov/
South Carolina,https://scvotes.gov/voters/register-to-vote/
South Dakota,https://sdsos.gov/elections-voting/voting/register-to-vote.aspx
Tennessee,https://ovr.govote.tn.gov/
Texas,https://www.votetexas.gov/register-to-vote/index.html
Utah,https://vote.utah.gov/
Vermont,https://olvr.vermont.gov/
Virginia,https://vote.elections.virginia.gov/VoterInformation
Washington,https://www.votewa.gov/
West Virginia,https://ovr.sos.wv.gov/Register/Landing
Wisconsin,https://myvote.wi.gov/en-us/Register-To-Vote
Wyoming,https://sos.wyo.gov/Elections/State/RegisteringToVote.aspx
